transaction_id,date,store_id,product_id,product_name,category,quantity,unit_price,total_amount
1001,2024-01-01,STORE002,P123,Organic Coffee,Beverages,2,12.99,25.98
1002,2024-01-01,STORE001,P456,Whole Grain Bread,Bakery,3,4.99,14.97
1003,2024-01-01,STORE002,P789,Fresh Milk,Dairy,4,3.99,15.96
1004,2024-01-01,STORE003,P234,Avocado,Produce,5,1.99,9.95
1005,2024-01-01,STORE003,P567,Free Range Eggs,Dairy,2,5.99,11.98
1006,2024-01-01,STORE002,P123,Organic Coffee,Beverages,1,12.99,12.99
1007,2024-01-02,STORE001,P111,Quinoa,Grains,2,8.99,17.98
1008,2024-01-02,STORE001,P222,Almond Milk,Beverages,4,3.99,15.96
1009,2024-01-02,STORE002,P333,Organic Bananas,Produce,6,0.99,5.94
1010,2024-01-02,STORE001,P444,Chia Seeds,Health Foods,1,12.99,12.99
1011,2024-01-02,STORE002,P456,Whole Grain Bread,Bakery,3,4.99,14.97
1012,2024-01-02,STORE002,P666,Green Tea,Beverages,3,5.99,17.97
1013,2024-01-03,STORE001,P777,Organic Spinach,Produce,2,4.99,9.98
1014,2024-01-03,STORE001,P888,Natural Honey,Condiments,1,8.99,8.99
1015,2024-01-03,STORE002,P789,Fresh Milk,Dairy,2,3.99,7.98
1016,2024-01-03,STORE001,P112,Protein Bars,Health Foods,5,2.99,14.95
1017,2024-01-03,STORE002,P123,Organic Coffee,Beverages,2,12.99,25.98
1018,2024-01-03,STORE003,P114,Organic Apples,Produce,6,1.49,8.94
1019,2024-01-04,STORE001,P115,Granola,Breakfast,2,7.99,15.98
1020,2024-01-04,STORE002,P116,Hummus,Deli,3,4.99,14.97
1021,2024-01-04,STORE003,P117,Almond Butter,Condiments,1,11.99,11.99
1022,2024-01-04,STORE001,P789,Fresh Milk,Dairy,3,3.99,11.97
1023,2024-01-04,STORE002,P119,Sparkling Water,Beverages,6,1.99,11.94
1024,2024-01-04,STORE002,P120,Trail Mix,Snacks,2,6.99,13.98
1025,2024-01-05,STORE001,P121,Organic Tofu,Protein,3,3.99,11.97
1026,2024-01-05,STORE002,P222,Almond Milk,Beverages,3,3.99,11.97
1027,2024-01-05,STORE003,P124,Rice Cakes,Snacks,4,2.99,11.96
1028,2024-01-05,STORE001,P125,Green Smoothie,Beverages,3,5.99,17.97
1029,2024-01-05,STORE002,P456,Whole Grain Bread,Bakery,2,4.99,9.98
1030,2024-01-05,STORE001,P127,Protein Powder,Health Foods,1,24.99,24.99
1031,2024-01-06,STORE003,P128,Dried Mango,Snacks,3,4.99,14.97
1032,2024-01-06,STORE002,P129,Green Tea,Beverages,2,8.99,17.98
1033,2024-01-06,STORE001,P130,Gluten-Free Pasta,Grains,4,4.99,19.96
1034,2024-01-06,STORE003,P234,Avocado,Produce,3,1.99,5.97
1035,2024-01-06,STORE002,P132,Cashew Nuts,Snacks,2,9.99,19.98
1036,2024-01-06,STORE001,P133,Coconut Chips,Snacks,3,3.99,11.97
1037,2024-01-07,STORE002,P134,Vegan Cheese,Dairy,1,7.99,7.99
1038,2024-01-07,STORE001,P123,Organic Coffee,Beverages,1,12.99,12.99
1039,2024-01-07,STORE001,P136,Mineral Water,Beverages,6,1.49,8.94
1040,2024-01-07,STORE003,P137,Energy Balls,Health Foods,4,2.99,11.96
1041,2024-01-07,STORE002,P789,Fresh Milk,Dairy,2,3.99,7.98
1042,2024-01-07,STORE001,P139,Plant Protein,Health Foods,1,19.99,19.99
1043,2024-01-08,STORE003,P140,Seaweed Snacks,Snacks,3,1.99,5.97
1044,2024-01-08,STORE001,P456,Whole Grain Bread,Bakery,4,4.99,19.96
1045,2024-01-08,STORE002,P222,Almond Milk,Beverages,2,3.99,7.98
1046,2024-01-08,STORE003,P143,Nut Mix,Snacks,3,7.99,23.97
1047,2024-01-08,STORE002,P234,Avocado,Produce,4,1.99,7.96
1048,2024-01-08,STORE002,P145,Protein Cookies,Snacks,3,3.99,11.97
1049,2024-01-08,STORE003,P789,Fresh Milk,Dairy,3,3.99,11.97
1050,2024-01-08,STORE001,P123,Organic Coffee,Beverages,2,12.99,25.98
